"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48532,580,"Palace - Central - W. of Axis","Sculptor's trial piece","TA.OC.36-37.026","26","0.1","Glasgow G. Soc.","","","https://www.flickr.com/photos/25459876@N04/18671356160","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48532,1014,"T.A.36.37 Palace Central W. of Axis","Sculptors trial piece.","TA.OC.36-37.026","26","0.1","Glasgow [& Son?]","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18671356160","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48533,433,"Palace - Central, W. of Axis","Unfinished Monkey (limestone)","TA.OC.36-37.027a","27","0.27","Manchester University Museum","T.A. 36-37; 6.5 x 7","","https://www.flickr.com/photos/25459876@N04/18671310988","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48533,580,"Palace - Central - W. of Axis","Unfinished monkey (limestone)","TA.OC.36-37.027a","27","0.27","Manchester University Museum","","","https://www.flickr.com/photos/25459876@N04/18671310988","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48533,1014,"T.A.36-37 Palace- Central W. of Axis","Unfinished Monkey (limestone)","TA.OC.36-37.027a","27","0.27","Manchester University Museum","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18671310988","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48534,433,"","","TA.OC.36-37.027b","","","","","No details.","https://www.flickr.com/photos/25459876@N04/18859042645","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48534,580,"","","TA.OC.36-37.027b","","","","","","https://www.flickr.com/photos/25459876@N04/18859042645","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48534,1014,"","","TA.OC.36-37.027b","","","","","Nothing but drawing","https://www.flickr.com/photos/25459876@N04/18859042645","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48535,433,"Palace - Central, W. of Axis","Limestone trial piece","TA.OC.36-37.028","28","0.2","Ashmolean","T.A. 36-37; 16 x 8.5","","https://www.flickr.com/photos/25459876@N04/18671310228","Theresa Huntsman; Joellen mcGann; Denis Antoine"
